,hid,corr_enhance30,corr_enhance45,conc,mass,spin,scale_of_last_MM,c_to_a,Ni11_ba,Ni11_ca,Ni11_rperp,Ni11_rpar,Ni11_Nsats,Np11_ba,Np11_ca,Np11_rperp,Np11_rpar,Np11_Nsats,L0i1_ba,L0i1_ca,L0i1_rperp,L0i1_rpar,L0i1_Nsats,L1i1_ba,L1i1_ca,L1i1_rperp,L1i1_rpar,L1i1_Nsats,L0p1_ba,L0p1_ca,L0p1_rperp,L0p1_rpar,L0p1_Nsats,L1p1_ba,L1p1_ca,L1p1_rperp,L1p1_rpar,L1p1_Nsats,L0m1_ba,L0m1_ca,L0m1_rperp,L0m1_rpar,L0m1_Nsats,L1m1_ba,L1m1_ca,L1m1_rperp,L1m1_rpar,L1m1_Nsats
1354437,1354437.0,1.0980778550472043,1.0719543226118753,11.402435727358293,1762832996273.2722,0.0208379328250885,0.0942000001669,0.5547505021095276,0.8183449494017747,0.6170561585551114,92.57258591608863,150.0229511246676,11.0,0.8183449494017747,0.6170561585551114,92.57258591608863,150.0229511246676,11.0,0.7576229375979265,0.3558538239487354,44.97075903829323,126.37424698510965,13.0,0.7757786454946072,0.4535777873154081,55.24180379209721,121.79124581707805,22.0,0.7616554386376589,0.19221817261583396,21.155076158412086,110.05762811351075,8.0,0.7542960416018907,0.44703344673074774,54.19156601402492,121.22485780502456,22.0,0.7599956634173046,0.4147269415250409,50.18735469702146,121.01300801069658,15.0,0.7512829957135433,0.4502589073090673,52.56833640207306,116.7513524968181,26.0
1725272,1725272.0,1.0201379261963952,1.0064174867825595,12.850291358800787,1163667571061.1514,0.010791659355163574,0.0826999992132,0.49007803201675415,0.6909255150522882,0.5725024937844952,76.88167323134464,134.29054731818331,11.0,0.6909255150522882,0.5725024937844952,76.88167323134464,134.29054731818331,11.0,0.8365516602661246,0.3393573416116809,36.937985207998054,108.84687224555574,9.0,0.8146462984703834,0.5863456800384405,60.782405914290386,103.66309155770632,15.0,0.6095656415188193,0.31786885227284967,35.0375218844948,110.2263453432667,8.0,0.861131005966037,0.6238498603220142,64.42027867808656,103.26247191084497,11.0,0.8365516602661246,0.3393573416116809,36.937985207998054,108.84687224555574,9.0,0.8146462984703834,0.5863456800384405,60.782405914290386,103.66309155770632,15.0
1195448,1195448.0,1.0500782031114533,1.025656763745298,9.135123954297635,750353339863.3826,0.041123781353235245,0.190200001001,0.7137244343757629,0.5510985826116794,0.4689934239763322,63.036025040291534,134.40705523298055,11.0,0.5510985826116794,0.4689934239763322,63.036025040291534,134.40705523298055,11.0,0.6076061549039141,0.22260219015803206,24.44058822539561,109.79491355428631,7.0,0.5337698897276645,0.18304253134154608,22.30605327409879,121.8626791850773,9.0,0.6166557658318852,0.24881419869792662,19.281445786700615,77.49335000817028,6.0,0.706296351983779,0.2403600505049619,22.84845730586267,95.05929649233148,8.0,0.6624794880338115,0.2300603932218895,22.360545720975214,97.19424281522936,9.0,0.5337017201307969,0.18623240600101398,21.569375968830354,115.81967087249761,10.0
1599988,1599988.0,1.0405001040786555,1.0271669685226001,12.970638950820694,1648496849263.0564,0.03672794625163078,0.458799988031,0.5373942852020264,0.7134104871719824,0.37885127585221984,58.75227640273568,155.08005422595818,11.0,0.7134104871719824,0.37885127585221984,58.75227640273568,155.08005422595818,11.0,0.4552208479575538,0.36424081517213214,55.899194978656354,153.4676858007789,14.0,0.7090469392821698,0.38688898852806114,53.3526124900416,137.90160503927578,18.0,0.516920300706285,0.3097612697643154,39.66939283454646,128.0644054201136,10.0,0.7087785704748836,0.4476519248215485,56.86694284577015,127.03383967005065,21.0,0.4499255147285951,0.372866361363784,51.45136838025396,137.9887641032221,18.0,0.6883764667218013,0.4498630150893153,56.09064011634617,124.68382204127178,24.0
796175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94638,94638.0,1.0594861378150602,1.0361961384981375,10.467630353102562,1174158018162.782,0.04207620024681091,0.320699989796,0.6209033131599426,0.6999780693869639,0.19970760970996237,35.776493652908435,179.14436863406146,11.0,0.6999780693869639,0.19970760970996237,35.776493652908435,179.14436863406146,11.0,0.8402008698229775,0.31395230871956786,43.69695038701738,139.1834019798494,10.0,0.9030892702657269,0.44898459769873283,55.53638062903882,123.6932868381012,15.0,0.5958324170280171,0.26009560843777935,40.09101773498973,154.13954113177718,8.0,0.8126342213887352,0.4042693041122304,55.84706225067443,138.14321711442773,15.0,0.8411385729072205,0.3146147388231647,41.76460041044729,132.7483911487117,11.0,0.8111651048445897,0.4051354171695416,52.91371747863634,130.60748390825816,17.0
95289,95289.0,1.1327200759751166,1.0903702576951382,13.324336715167476,763227584430.8901,0.025253860279917717,0.155599996448,0.6294044852256775,0.6941019836275757,0.4718019574716926,55.30226380579512,117.21499440602297,11.0,0.6941019836275757,0.4718019574716926,55.30226380579512,117.21499440602297,11.0,0.5709505630825713,0.35399498688772635,37.940718927369645,107.17868990445051,8.0,0.6749997981124016,0.5143171460694165,49.39547228596405,96.04088190226742,15.0,0.5676317514006578,0.16793686951379833,19.029084080474075,113.31093723234497,7.0,0.629044632247217,0.5097229607020113,50.03025647350465,98.15185959957726,13.0,0.6447789712001252,0.3568577614242193,36.18069738805772,101.3868865949856,9.0,0.6660922887010334,0.5064135134331593,48.63555899270213,96.03922032606161,16.0
1232164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
